id,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
45531759,100%,94%,t,4,5,t,t,Fenway,42.34163,-71.08367,Entire rental unit,Entire home/apt,8,2.5,4,4,"$1,140.00 ",5,365,t,3,15,35,250,49,8,0,35,11,80,91200,5,4.98,5,5,5,4.94,4.94,f,3,3,0,0,0.84
45539554,100%,100%,f,39,74,t,t,Downtown,42.35708,-71.06228,Entire serviced apartment,Entire home/apt,8,2,4,4,$919.00 ,1,365,t,17,27,27,27,278,27,2,27,56,162,148878,4.74,4.82,4.83,4.85,4.91,4.8,4.62,t,39,39,0,0,4.61
45539765,100%,100%,f,39,74,t,t,Downtown,42.35722807,-71.06149158,Entire serviced apartment,Entire home/apt,4,1,2,2,$582.00 ,1,365,t,5,8,8,8,335,52,2,8,44,255,148410,4.71,4.83,4.87,4.8,4.87,4.81,4.5,t,39,39,0,0,5.53
45542821,100%,100%,f,39,74,t,t,Downtown,42.35730887,-71.06218278,Entire serviced apartment,Entire home/apt,8,2,4,4,$645.00 ,1,90,t,10,13,13,13,265,53,1,13,64,255,164475,4.72,4.79,4.86,4.87,4.91,4.88,4.61,t,39,39,0,0,4.38
45543316,100%,100%,f,39,74,t,t,Downtown,42.35576,-71.06202,Entire serviced apartment,Entire home/apt,6,2,3,3,$623.00 ,1,180,t,8,17,17,17,292,72,6,17,65,255,158865,4.72,4.78,4.82,4.85,4.87,4.82,4.58,t,39,39,0,0,4.85
45543382,100%,100%,f,39,74,t,t,Downtown,42.3552354,-71.0609107,Entire serviced apartment,Entire home/apt,4,1,2,2,$421.00 ,1,90,t,13,23,23,23,254,39,1,23,56,234,98514,4.67,4.77,4.81,4.86,4.86,4.85,4.48,t,39,39,0,0,4.2
45632722,N/A,N/A,f,1,3,t,t,Charlestown,42.38018,-71.06604,Entire home,Entire home/apt,4,,2,,,29,1125,t,0,0,0,0,45,0,0,0,0,0,,4.76,4.89,4.42,4.93,4.93,4.96,4.76,t,1,1,0,0,1.22
45641345,100%,100%,f,3,4,t,f,Roslindale,42.29309,-71.12205,Private room in home,Private room,1,1,1,1,$35.00 ,29,1125,t,1,24,53,322,10,3,0,61,0,174,6090,4.5,4.6,3.9,4.9,4.9,4.2,4.4,f,3,0,3,0,0.19
45652898,100%,97%,t,1,1,t,t,Jamaica Plain,42.30912,-71.11833,Entire townhouse,Entire home/apt,2,1,1,1,$165.00 ,1,1125,t,8,12,30,138,105,23,5,36,21,138,22770,4.94,4.93,4.93,4.98,4.97,4.96,4.7,f,1,1,0,0,1.79
45658966,100%,100%,f,3,4,t,f,Roslindale,42.29156,-71.12194,Private room in home,Private room,1,1,1,1,$51.00 ,29,1125,t,26,53,80,322,5,0,0,90,0,0,0,4.6,4.8,4.8,5,5,4.6,4.8,f,3,0,3,0,0.09
45675549,100%,100%,f,39,74,t,t,Downtown,42.35531,-71.06071,Entire rental unit,Entire home/apt,8,2,4,4,$740.00 ,1,365,t,5,7,7,7,261,43,2,7,39,255,188700,4.72,4.69,4.85,4.84,4.86,4.8,4.59,t,39,39,0,0,4.31
45676233,100%,100%,f,39,74,t,t,Downtown,42.35512,-71.06247,Entire rental unit,Entire home/apt,4,1,2,2,$536.00 ,1,365,t,11,14,14,14,308,41,2,14,61,246,131856,4.68,4.72,4.77,4.85,4.87,4.8,4.52,f,39,39,0,0,5.09
45680010,100%,96%,f,5084,5865,t,t,Fenway,42.34518,-71.08706,Entire rental unit,Entire home/apt,2,1,1,1,$277.00 ,32,1125,t,0,0,0,131,1,0,0,0,0,0,0,5,5,4,5,5,5,4,t,343,343,0,0,0.03
